States,Transaction_Year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,District
assam,2018,1,TOTAL,41237,45886201.028968215,tinsukia district
assam,2018,1,TOTAL,24946,17798094.851239465,lakhimpur district
assam,2018,1,TOTAL,47859,41868129.255927615,kamrup district
assam,2018,1,TOTAL,16397,17935304.652874034,kokrajhar district
assam,2018,1,TOTAL,15032,14875159.1867853,karbi anglong district
assam,2018,1,TOTAL,16898,17611863.81889959,sivasagar district
assam,2018,1,TOTAL,44792,53258765.86975427,dibrugarh district
assam,2018,1,TOTAL,8415,9404471.999163514,south salmara mancachar district
assam,2018,1,TOTAL,66695,56352631.291476294,nagaon district
assam,2018,1,TOTAL,26072,24431277.76189988,dhubri district
assam,2018,1,TOTAL,22089,19058581.948010616,golaghat district
assam,2018,1,TOTAL,18168,14465756.75866175,udalguri district
assam,2018,1,TOTAL,2598,1326721.023225203,majuli district
assam,2018,1,TOTAL,51976,73005566.24909952,sonitpur district
assam,2018,1,TOTAL,16917,15849610.99109809,hojai district
assam,2018,1,TOTAL,79832,105067294.49868405,marigaon district
assam,2018,1,TOTAL,8445,11665546.586547565,chirang district
assam,2018,1,TOTAL,56481,57250290.53047233,cachar district
assam,2018,1,TOTAL,16878,12393870.992541898,nalbari district
assam,2018,1,TOTAL,1445,570966.7219731117,west karbi anglong district
assam,2018,1,TOTAL,16037,17004986.97044885,dhemaji district
assam,2018,1,TOTAL,17261,17842353.51962607,karimganj district
assam,2018,1,TOTAL,18899,21510944.891263362,bongaigaon district
assam,2018,1,TOTAL,4233,4781136.056644153,dima hasao district
assam,2018,1,TOTAL,20964,22457849.86668141,baksa district
assam,2018,1,TOTAL,13094,10873516.975702649,charaideo district
assam,2018,1,TOTAL,28031,21593879.067580055,darrang district
assam,2018,1,TOTAL,194617,284766218.98487484,kamrup metropolitan district
assam,2018,1,TOTAL,15865,11065155.715426873,hailakandi district
assam,2018,1,TOTAL,67801,56352302.37753609,barpeta district
assam,2018,1,TOTAL,27132,25331840.51625772,goalpara district
assam,2018,1,TOTAL,16453,12983623.197160937,biswanath district
assam,2018,1,TOTAL,33322,41164542.05596451,jorhat district
assam,2022,3,TOTAL,1596815,3042250714.0585003,tinsukia district
assam,2022,3,TOTAL,1107100,2067093940.620087,lakhimpur district
assam,2022,3,TOTAL,2430234,4614592326.476387,kamrup district
assam,2022,3,TOTAL,1067899,2284375602.7792797,kokrajhar district
assam,2022,3,TOTAL,859889,1828335931.7694077,karbi anglong district
assam,2022,3,TOTAL,747403,1314001865.700468,sivasagar district
assam,2022,3,TOTAL,2307181,3933628296.025187,dibrugarh district
assam,2022,3,TOTAL,605276,1484669445.1835508,south salmara mancachar district
assam,2022,3,TOTAL,2968058,6558107158.010572,nagaon district
assam,2022,3,TOTAL,2223747,4556385241.834756,dhubri district
assam,2022,3,TOTAL,1053657,2034519777.2871876,golaghat district
assam,2022,3,TOTAL,863753,1579156771.500186,udalguri district
assam,2022,3,TOTAL,134355,225690807.14413714,majuli district
assam,2022,3,TOTAL,3096898,5410346627.41358,sonitpur district
assam,2022,3,TOTAL,1043820,2113483858.3325524,hojai district
assam,2022,3,TOTAL,1489205,3238457317.646788,marigaon district
assam,2022,3,TOTAL,715691,1537298774.9483962,chirang district
assam,2022,3,TOTAL,2665315,5192449137.351445,cachar district
assam,2022,3,TOTAL,794013,1648877908.7165303,nalbari district
assam,2022,3,TOTAL,109757,205472736.923297,west karbi anglong district
assam,2022,3,TOTAL,772797,1515654182.855371,dhemaji district
assam,2022,3,TOTAL,1334451,3178134072.4352174,karimganj district
assam,2022,3,TOTAL,1668882,3479985149.6288843,bongaigaon district
assam,2022,3,TOTAL,288848,678521294.5272696,dima hasao district
assam,2022,3,TOTAL,994859,2149845145.9618897,baksa district
assam,2022,3,TOTAL,653536,1267458929.2095046,charaideo district
assam,2022,3,TOTAL,1805090,3233214492.5730667,darrang district
assam,2022,3,TOTAL,39606017,69410860235.2296,kamrup metropolitan district
assam,2022,3,TOTAL,1560929,2991549159.6529717,hailakandi district
assam,2022,3,TOTAL,4561028,9149960686.489628,barpeta district
assam,2022,3,TOTAL,2054687,4590076568.303604,goalpara district
assam,2022,3,TOTAL,668091,1279949511.7036183,biswanath district
assam,2022,3,TOTAL,2264530,3694675386.605816,jorhat district
assam,2022,4,TOTAL,1847473,3636219479.5014515,tinsukia district
assam,2022,4,TOTAL,1397791,2505469638.516078,lakhimpur district
assam,2022,4,TOTAL,3473735,6488564510.007879,kamrup district
assam,2022,4,TOTAL,1249751,2609828653.3645363,kokrajhar district
assam,2022,4,TOTAL,1030879,2189719279.796463,karbi anglong district
assam,2022,4,TOTAL,883421,1544157685.457902,sivasagar district
assam,2022,4,TOTAL,2781759,4540236249.409073,dibrugarh district
assam,2022,4,TOTAL,763570,1935371793.739441,south salmara mancachar district
assam,2022,4,TOTAL,3466436,7442294882.997084,nagaon district
assam,2022,4,TOTAL,2801543,5696918774.408015,dhubri district
assam,2022,4,TOTAL,1247652,2348259381.7865367,golaghat district
assam,2022,4,TOTAL,1048339,1929847430.1772635,udalguri district
assam,2022,4,TOTAL,170716,264376860.96607828,majuli district
assam,2022,4,TOTAL,3570910,5955878582.005959,sonitpur district
assam,2022,4,TOTAL,1188838,2311470243.4308867,hojai district
assam,2022,4,TOTAL,1732867,3678892463.487752,marigaon district
assam,2022,4,TOTAL,763852,1640747076.1993437,chirang district
assam,2022,4,TOTAL,3169492,6146128032.607637,cachar district
assam,2022,4,TOTAL,956563,1913556549.936222,nalbari district
assam,2022,4,TOTAL,139542,264423911.38078785,west karbi anglong district
assam,2022,4,TOTAL,913590,1749366721.703061,dhemaji district
assam,2022,4,TOTAL,1635099,3857130937.197542,karimganj district
assam,2022,4,TOTAL,2301942,4663672960.523357,bongaigaon district
assam,2022,4,TOTAL,323049,753858279.4564474,dima hasao district
assam,2022,4,TOTAL,1159058,2539432688.237523,baksa district
assam,2022,4,TOTAL,620063,1222334993.440687,charaideo district
assam,2022,4,TOTAL,1903379,3947924967.0539055,darrang district
assam,2022,4,TOTAL,48873033,84183380553.41818,kamrup metropolitan district
assam,2022,4,TOTAL,1179854,2307448482.382268,hailakandi district
assam,2022,4,TOTAL,5914147,12025232756.80872,barpeta district
assam,2022,4,TOTAL,2471469,5401152298.290413,goalpara district
assam,2022,4,TOTAL,770207,1431848172.336092,biswanath district
assam,2022,4,TOTAL,2231248,3528373897.52103,jorhat district
assam,2022,2,TOTAL,1393042,2864342184.623848,tinsukia district
assam,2022,2,TOTAL,949594,1949181060.629253,lakhimpur district
assam,2022,2,TOTAL,2122755,4247651138.552457,kamrup district
